year,carrier,carrier_name,airport,airport_name,security_delay,top_five
2006,AS,Alaska Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",27,FALSE
2006,AA,American Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",22,FALSE
2006,MQ,American Eagle Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",152,FALSE
2006,OH,Comair Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",124,FALSE
2006,CO,Continental Air Lines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",563,FALSE
2006,DL,Delta Air Lines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",157,FALSE
2006,XE,ExpressJet Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",39,FALSE
2006,NW,Northwest Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",136,FALSE
2006,US,US Airways Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",115,FALSE
2006,AA,American Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",119,FALSE
2006,OH,Comair Inc.,IAD,"Washington, DC: Washington Dulles International",114,FALSE
2006,XE,ExpressJet Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",224,FALSE
2006,B6,JetBlue Airways,IAD,"Washington, DC: Washington Dulles International",475,FALSE
2006,YV,Mesa Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",1632,FALSE
2006,NW,Northwest Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",62,FALSE
2006,WN,Southwest Airlines Co.,IAD,"Washington, DC: Washington Dulles International",6,FALSE
2006,US,US Airways Inc.,IAD,"Washington, DC: Washington Dulles International",27,FALSE
2006,AA,American Airlines Inc.,PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",64,FALSE
2006,CO,Continental Air Lines Inc.,PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",375,FALSE
2006,DL,Delta Air Lines Inc.,PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",162,FALSE
2006,XE,ExpressJet Airlines Inc.,PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",11,FALSE
2006,B6,JetBlue Airways,PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",118,FALSE
2006,NW,Northwest Airlines Inc.,PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",61,FALSE
2006,WN,Southwest Airlines Co.,PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",177,FALSE
2006,EV,Atlantic Southeast Airlines,HPN,"White Plains, NY: Westchester County",154,FALSE
2006,XE,ExpressJet Airlines Inc.,HPN,"White Plains, NY: Westchester County",10,FALSE
2006,EV,Atlantic Southeast Airlines,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",242,FALSE
2006,XE,ExpressJet Airlines Inc.,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",244,FALSE
