year,carrier,carrier_name,airport,airport_name,security_delay,top_five
2007,US,US Airways Inc.,RSW,"Fort Myers, FL: Southwest Florida International",46,FALSE
2007,EV,Atlantic Southeast Airlines,FSM,"Fort Smith, AR: Fort Smith Regional",4,FALSE
2007,EV,Atlantic Southeast Airlines,FWA,"Fort Wayne, IN: Fort Wayne International",15,FALSE
2007,XE,ExpressJet Airlines Inc.,FAT,"Fresno, CA: Fresno Yosemite International",106,FALSE
2007,YV,Mesa Airlines Inc.,FAT,"Fresno, CA: Fresno Yosemite International",81,FALSE
2007,OO,SkyWest Airlines Inc.,FAT,"Fresno, CA: Fresno Yosemite International",484,FALSE
2007,YV,Mesa Airlines Inc.,GJT,"Grand Junction, CO: Grand Junction Regional",22,FALSE
2007,OO,SkyWest Airlines Inc.,GJT,"Grand Junction, CO: Grand Junction Regional",20,FALSE
2007,EV,Atlantic Southeast Airlines,GRR,"Grand Rapids, MI: Gerald R. Ford International",51,FALSE
2007,OH,Comair Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",50,FALSE
2007,XE,ExpressJet Airlines Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",89,FALSE
2007,NW,Northwest Airlines Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",24,FALSE
2007,9E,Pinnacle Airlines Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",80,FALSE
2007,EV,Atlantic Southeast Airlines,GRB,"Green Bay, WI: Green Bay Austin Straubel International",28,FALSE
2007,OH,Comair Inc.,GRB,"Green Bay, WI: Green Bay Austin Straubel International",30,FALSE
2007,NW,Northwest Airlines Inc.,GRB,"Green Bay, WI: Green Bay Austin Straubel International",31,FALSE
2007,OO,SkyWest Airlines Inc.,GRB,"Green Bay, WI: Green Bay Austin Straubel International",133,FALSE
2007,OH,Comair Inc.,GSO,"Greensboro/High Point, NC: Piedmont Triad International",62,FALSE
2007,XE,ExpressJet Airlines Inc.,GSO,"Greensboro/High Point, NC: Piedmont Triad International",123,FALSE
2007,YV,Mesa Airlines Inc.,GSO,"Greensboro/High Point, NC: Piedmont Triad International",71,FALSE
2007,9E,Pinnacle Airlines Inc.,GSO,"Greensboro/High Point, NC: Piedmont Triad International",17,FALSE
2007,EV,Atlantic Southeast Airlines,GSP,"Greer, SC: Greenville-Spartanburg International",27,FALSE
2007,OH,Comair Inc.,GSP,"Greer, SC: Greenville-Spartanburg International",17,FALSE
